Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,Path width...9,Path width...10,Geographical area
2093-01-27,03:22:16,142,Total,−0.2737,1.034,2:58,34°06′S 136°24′E﻿ / ﻿34.1°S 136.4°E﻿ / -34.1; 136.4,119,74,"Total: AustraliaPartial: Indies, Australia, Antarctica, New Zealand"
2093-07-23,12:32:04,147,Annular,0.5717,0.9463,5:11,54°36′N 1°18′E﻿ / ﻿54.6°N 1.3°E﻿ / 54.6; 1.3,241,150,"Annular: Illinois, Indiana, Ohio, Michigan, Pennsylvania, New York, Vermont, New Hampshire, Maine, Southeastern Canada, Ireland, United Kingdom, Netherlands, Germany, Czech Republic, Poland, Slovakia, Hungary, Ukraine, Romania, Moldova, Turkey, Iraq, Iran, Pakistan, Western IndiaPartial: Eastern North America, Caribbean, Europe, North Africa, Central Asia, North Asia, South Asia"
2094-01-16,18:59:03,152,Total,−0.9333,1.0342,1:51,84°48′S 10°36′W﻿ / ﻿84.8°S 10.6°W﻿ / -84.8; -10.6,329,204,"Total: AntarcticaPartial: South America, Antarctica, New Zealand"
2094-06-13,00:22:11,119,Partial,−1.4613,0.1618,—,65°18′S 163°36′W﻿ / ﻿65.3°S 163.6°W﻿ / -65.3; -163.6,—,—,Partial: None
2094-07-12,13:24:35,157,Partial,1.3150,0.4224,—,68°00′N 152°48′E﻿ / ﻿68.0°N 152.8°E﻿ / 68.0; 152.8,—,—,"Partial: Northern North America, Scandinavia, Russia"
2094-12-07,20:05:56,124,Partial,1.1547,0.7046,—,64°42′N 95°00′W﻿ / ﻿64.7°N 95.0°W﻿ / 64.7; -95.0,—,—,Partial: North America
2095-06-02,10:07:40,129,Total,−0.6396,1.0332,3:18,16°42′S 37°12′E﻿ / ﻿16.7°S 37.2°E﻿ / -16.7; 37.2,145,90,"Total: South Africa, Namibia, Botswana, Zimbabwe, Mozambique, Southern Malawi, MadagascarPartial: Southern Africa, Central Africa, East Africa, Southern Middle East, Southern India"
2095-11-27,01:02:57,134,Annular,0.4903,0.933,8:47,7°12′N 169°48′E﻿ / ﻿7.2°N 169.8°E﻿ / 7.2; 169.8,285,177,"Annular: Northeastern China, North Korea, South Korea, Japan, Marshall Islands, KiribatiPartial: East Asia, Southeast Asia, Oceania, Hawaii, Southwestern Alaska"
2096-05-22,01:37:14,139,Total,0.1196,1.0737,6:07,27°18′N 153°24′E﻿ / ﻿27.3°N 153.4°E﻿ / 27.3; 153.4,241,150,"Total: Indonesia, PhilippinesPartial: Southeast Asia, East Asia, Northern Australia, Hawaii, Northwestern North America"
2096-11-15,00:36:15,144,Annular,−0.20,0.9237,8:53,29°42′S 163°18′E﻿ / ﻿29.7°S 163.3°E﻿ / -29.7; 163.3,294,183,"Annular: Malaysia, Brunei, Indonesia, Papua New Guinea, Northeastern Australia, New ZealandPartial: Southeast Asia, Australia, Oceania, Antarctica"
